Cycle start time,Cycle end time,Cycle timezone,Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %,Nap
2024-09-23 01:45:45,2024-09-24 00:39:42,UTC-04:00,2024-09-23 01:45:45,2024-09-23 06:00:40,34,13.8,211,254,98,59,54,43,622,127,88,74,false
2024-09-22 01:14:35,2024-09-23 01:45:45,UTC-04:00,2024-09-22 01:14:35,2024-09-22 07:01:41,54,13.9,321,347,107,78,136,26,591,68,95,71,false
2024-09-20 21:39:47,2024-09-22 01:14:35,UTC-04:00,2024-09-20 21:39:47,2024-09-21 07:02:18,83,13.4,524,560,267,72,185,36,631,107,96,70,false
2024-09-19 23:02:43,2024-09-20 21:39:47,UTC-04:00,2024-09-19 23:02:43,2024-09-20 06:48:00,73,14.4,445,465,159,94,192,20,612,127,96,77,false
2024-09-19 01:28:02,2024-09-19 23:02:43,UTC-04:00,2024-09-19 01:28:02,2024-09-19 06:57:28,45,14.0,295,318,135,41,119,23,654,127,97,68,false
2024-09-17 23:19:51,2024-09-19 01:28:02,UTC-04:00,2024-09-17 23:19:51,2024-09-18 05:57:01,55,14.1,362,397,160,78,124,35,659,127,94,89,false
2024-09-16 23:25:12,2024-09-17 23:19:51,UTC-04:00,2024-09-16 23:25:12,2024-09-17 05:56:34,58,13.9,371,391,227,52,92,20,638,127,95,83,false
2024-09-16 00:27:10,2024-09-16 23:25:12,UTC-04:00,2024-09-16 00:27:10,2024-09-16 05:56:54,52,14.4,310,329,152,67,91,19,597,125,98,83,false
2024-09-14 23:30:22,2024-09-16 00:27:10,UTC-04:00,2024-09-14 23:30:22,2024-09-15 06:29:50,61,14.8,397,419,154,81,162,22,648,127,94,82,false
2024-09-14 00:19:38,2024-09-14 23:30:22,UTC-04:00,2024-09-14 00:19:38,2024-09-14 06:43:12,63,14.2,367,383,150,78,139,16,580,71,97,71,false
2024-09-12 22:02:56,2024-09-14 00:19:38,UTC-04:00,2024-09-12 22:02:56,2024-09-13 06:14:54,81,14.4,460,491,170,95,195,31,571,127,94,70,false
2024-09-11 23:20:55,2024-09-12 22:02:56,UTC-04:00,2024-09-12 15:32:00,2024-09-12 16:32:00,8,14.6,48,60,36,12,0,12,615,127,89,,true
2024-09-11 23:20:55,2024-09-12 22:02:56,UTC-04:00,2024-09-11 23:20:55,2024-09-12 06:18:17,61,13.9,394,414,148,63,183,20,648,127,97,85,false
2024-09-10 23:28:21,2024-09-11 23:20:55,UTC-04:00,2024-09-10 23:28:21,2024-09-11 06:15:09,61,14.0,389,406,188,51,150,17,635,127,96,79,false
2024-09-09 22:30:09,2024-09-10 23:28:21,UTC-04:00,2024-09-09 22:30:09,2024-09-10 04:49:52,56,14.9,356,377,161,86,109,21,634,127,94,75,false
2024-09-09 00:10:22,2024-09-09 22:30:09,UTC-04:00,2024-09-09 00:10:22,2024-09-09 06:03:10,50,13.9,322,352,140,84,98,30,643,127,95,78,false
2024-09-08 01:27:15,2024-09-09 00:10:22,UTC-04:00,2024-09-08 01:27:15,2024-09-08 06:06:59,38,15.1,252,279,68,63,121,27,656,127,94,66,false
2024-09-06 23:05:25,2024-09-08 01:27:15,UTC-04:00,2024-09-06 23:05:25,2024-09-07 06:44:27,67,13.7,431,459,152,102,177,28,647,127,95,86,false
2024-09-05 22:19:06,2024-09-06 23:05:25,UTC-04:00,2024-09-05 22:19:06,2024-09-06 05:29:46,66,14.4,411,430,171,80,160,19,623,123,95,82,false
2024-09-04 23:28:16,2024-09-05 22:19:06,UTC-04:00,2024-09-04 23:28:16,2024-09-05 06:47:07,68,14.4,402,438,184,47,171,36,594,104,92,82,false
2024-09-03 23:21:38,2024-09-04 23:28:16,UTC-04:00,2024-09-03 23:21:38,2024-09-04 06:58:59,71,14.4,405,455,149,96,160,50,567,68,91,74,false
2024-09-02 23:17:16,2024-09-03 23:21:38,UTC-04:00,2024-09-02 23:17:16,2024-09-03 06:56:46,80,14.5,428,459,128,94,206,31,534,28,93,63,false
2024-09-01 20:01:31,2024-09-02 23:17:16,UTC-04:00,2024-09-01 20:01:31,2024-09-02 06:15:09,93,14.9,578,613,234,105,239,35,622,127,95,46,false
2024-09-01 03:04:01,2024-09-01 20:01:31,UTC-04:00,2024-09-01 03:04:01,2024-09-01 06:05:13,21,15.4,136,181,59,27,50,45,650,118,79,62,false
2024-08-30 23:19:01,2024-09-01 03:04:01,UTC-04:00,2024-08-30 23:19:01,2024-08-31 06:14:47,62,14.2,386,415,157,93,136,29,623,127,93,80,false
2024-08-30 01:24:41,2024-08-30 23:19:01,UTC-04:00,2024-08-30 01:24:41,2024-08-30 06:29:32,46,14.2,291,302,77,93,121,11,628,114,98,64,false
2024-08-28 23:32:57,2024-08-30 01:24:41,UTC-04:00,2024-08-28 23:32:57,2024-08-29 05:40:46,60,14.6,339,353,205,53,81,14,568,65,95,74,false
2024-08-27 21:27:34,2024-08-28 23:32:57,UTC-04:00,2024-08-27 21:27:34,2024-08-28 06:26:52,83,14.7,506,539,214,100,192,33,608,114,96,77,false
2024-08-26 23:15:13,2024-08-27 21:27:34,UTC-04:00,2024-08-26 23:15:13,2024-08-27 06:14:49,63,14.7,385,419,172,73,140,34,615,113,91,70,false
2024-08-25 21:22:13,2024-08-26 23:15:13,UTC-04:00,2024-08-25 21:22:13,2024-08-26 05:00:25,65,14.6,413,458,134,78,201,45,639,118,93,65,false
2024-08-24 21:46:48,2024-08-25 21:22:13,UTC-04:00,2024-08-24 21:46:48,2024-08-25 04:59:52,62,14.7,382,433,146,109,127,51,620,115,91,81,false
2024-08-23 23:22:23,2024-08-24 21:46:48,UTC-04:00,2024-08-23 23:22:23,2024-08-24 07:07:04,70,13.9,415,450,178,72,165,35,595,89,92,85,false
2024-08-22 22:24:23,2024-08-23 23:22:23,UTC-04:00,2024-08-22 22:24:23,2024-08-23 06:49:02,77,14.3,475,503,181,112,182,28,615,112,95,84,false
2024-08-21 23:42:00,2024-08-22 22:24:23,UTC-04:00,2024-08-21 23:42:00,2024-08-22 06:43:34,63,14.2,387,419,122,100,165,32,612,90,92,79,false
2024-08-20 21:58:35,2024-08-21 23:42:00,UTC-04:00,2024-08-20 21:58:35,2024-08-21 06:54:02,77,14.0,478,535,202,99,177,57,619,127,92,76,false
2024-08-20 00:06:21,2024-08-20 21:58:35,UTC-04:00,2024-08-20 00:06:21,2024-08-20 05:56:45,53,14.0,315,344,130,57,128,29,590,97,92,74,false
2024-08-18 21:39:15,2024-08-20 00:06:21,UTC-04:00,2024-08-18 21:39:15,2024-08-19 06:54:42,76,13.9,470,549,194,115,161,79,621,127,88,69,false
2024-08-17 23:02:27,2024-08-18 21:39:15,UTC-04:00,2024-08-17 23:02:27,2024-08-18 05:52:56,63,14.5,375,410,138,101,136,35,594,122,94,72,false
2024-08-17 00:13:04,2024-08-17 23:02:27,UTC-04:00,2024-08-17 00:13:04,2024-08-17 07:08:21,61,14.1,375,415,182,82,111,40,620,127,91,68,false
2024-08-15 22:30:54,2024-08-17 00:13:04,UTC-04:00,2024-08-15 22:30:54,2024-08-16 05:30:03,63,14.2,402,417,215,69,118,15,637,127,96,78,false
2024-08-15 01:11:23,2024-08-15 22:30:54,UTC-04:00,2024-08-15 01:11:23,2024-08-15 05:56:54,46,14.8,263,285,83,53,127,22,570,103,92,66,false
2024-08-13 21:43:11,2024-08-15 01:11:23,UTC-04:00,2024-08-13 21:43:11,2024-08-14 06:14:36,75,13.8,480,511,196,99,185,31,641,127,93,84,false
2024-08-12 22:58:50,2024-08-13 21:43:11,UTC-04:00,2024-08-12 22:58:50,2024-08-13 06:14:47,61,13.9,394,435,196,88,110,41,642,115,92,84,false
2024-08-11 21:47:28,2024-08-12 22:58:50,UTC-04:00,2024-08-11 21:47:28,2024-08-12 06:32:03,71,13.6,450,464,244,49,157,14,630,127,97,72,false
2024-08-10 23:05:56,2024-08-11 21:47:28,UTC-04:00,2024-08-10 23:05:56,2024-08-11 06:16:04,64,14.1,401,429,195,90,116,28,630,127,94,82,false
2024-08-09 23:01:44,2024-08-10 23:05:56,UTC-04:00,2024-08-09 23:01:44,2024-08-10 04:02:09,45,15.1,271,299,115,67,89,28,596,127,92,85,false
2024-08-08 23:02:23,2024-08-09 23:01:44,UTC-04:00,2024-08-08 23:02:23,2024-08-09 05:16:49,54,13.8,344,372,166,62,116,28,641,127,96,79,false
2024-08-07 23:12:53,2024-08-08 23:02:23,UTC-04:00,2024-08-07 23:12:53,2024-08-08 06:00:51,63,13.7,392,407,175,73,144,15,624,100,96,72,false
2024-08-06 21:38:18,2024-08-07 23:12:53,UTC-04:00,2024-08-06 21:38:18,2024-08-07 05:54:05,75,13.5,464,495,161,121,182,31,620,105,95,71,false
2024-08-05 20:10:24,2024-08-06 21:38:18,UTC-04:00,2024-08-05 20:10:24,2024-08-06 04:53:51,75,13.6,481,521,189,111,181,40,645,127,92,62,false
2024-08-04 23:13:59,2024-08-05 20:10:24,UTC-04:00,2024-08-04 23:13:59,2024-08-05 04:31:13,47,14.2,282,317,139,71,72,35,597,127,89,80,false
2024-08-03 22:16:13,2024-08-04 23:13:59,UTC-04:00,2024-08-03 22:16:13,2024-08-04 04:34:31,51,13.7,334,378,120,79,135,44,654,127,90,83,false
2024-08-02 23:02:18,2024-08-03 22:16:13,UTC-04:00,2024-08-02 23:02:18,2024-08-03 05:20:34,55,14.2,343,378,112,95,136,35,630,124,94,79,false
2024-08-01 23:11:16,2024-08-02 23:02:18,UTC-04:00,2024-08-01 23:11:16,2024-08-02 06:31:34,57,14.5,336,439,106,96,134,103,585,115,76,74,false
2024-07-31 22:16:10,2024-08-01 23:11:16,UTC-04:00,2024-07-31 22:16:10,2024-08-01 05:44:54,64,13.7,405,434,133,113,159,29,635,127,93,78,false
2024-07-30 22:19:12,2024-07-31 22:16:10,UTC-04:00,2024-07-30 22:19:12,2024-07-31 04:12:03,51,13.5,311,349,115,74,122,38,607,118,92,76,false
2024-07-29 23:19:57,2024-07-30 22:19:12,UTC-04:00,2024-07-29 23:19:57,2024-07-30 05:33:26,59,13.6,346,370,139,72,135,24,582,123,93,66,false
2024-07-28 22:53:23,2024-07-29 23:19:57,UTC-04:00,2024-07-29 12:55:00,2024-07-29 14:17:00,10,15.4,66,82,31,18,17,16,639,123,95,,true
2024-07-28 22:53:23,2024-07-29 23:19:57,UTC-04:00,2024-07-28 22:53:23,2024-07-29 05:16:28,58,13.5,346,383,143,65,138,37,593,87,94,76,false
2024-07-27 20:25:00,2024-07-28 22:53:23,UTC-04:00,2024-07-27 20:25:00,2024-07-28 05:45:00,79,14.1,501,560,258,103,140,59,638,127,94,61,false
2024-07-26 23:27:01,2024-07-27 20:25:00,UTC-04:00,2024-07-26 23:27:01,2024-07-27 04:50:42,49,14.7,300,323,141,54,105,23,614,100,93,72,false
2024-07-25 22:56:28,2024-07-26 23:27:01,UTC-04:00,2024-07-25 22:56:28,2024-07-26 06:40:59,68,13.8,424,463,142,74,208,39,625,105,94,69,false
2024-07-24 22:02:24,2024-07-25 22:56:28,UTC-04:00,2024-07-24 22:02:24,2024-07-25 04:50:03,64,14.0,373,407,141,83,149,34,584,67,93,64,false
2024-07-23 22:19:02,2024-07-24 22:02:24,UTC-04:00,2024-07-23 22:19:02,2024-07-24 04:48:25,72,14.3,348,389,180,56,112,41,483,0,92,66,false
2024-07-22 21:16:49,2024-07-23 22:19:02,UTC-04:00,2024-07-22 21:16:49,2024-07-23 06:19:00,100,14.9,471,540,283,101,87,69,466,0,87,59,false
2024-07-21 23:18:45,2024-07-22 21:16:49,UTC-04:00,2024-07-21 23:18:45,2024-07-22 06:19:47,100,14.7,389,420,183,81,125,31,269,0,93,31,false
2024-07-20 20:19:57,2024-07-21 23:18:45,UTC-04:00,2024-07-21 14:15:00,2024-07-21 18:05:00,42,15.6,194,230,83,47,64,36,463,0,90,,true
2024-07-20 20:19:57,2024-07-21 23:18:45,UTC-04:00,2024-07-20 20:19:57,2024-07-21 06:52:58,100,15.8,567,633,205,120,242,66,495,26,90,62,false
2024-07-19 20:38:44,2024-07-20 20:19:57,UTC-04:00,2024-07-19 20:38:44,2024-07-20 07:12:58,92,17.3,498,634,272,90,136,136,540,127,78,46,false
2024-07-18 22:23:55,2024-07-19 20:38:44,UTC-04:00,2024-07-19 12:00:00,2024-07-19 13:11:00,9,16.7,51,71,38,7,6,20,591,127,72,,true
2024-07-18 22:23:55,2024-07-19 20:38:44,UTC-04:00,2024-07-18 22:23:55,2024-07-19 04:14:19,52,16.9,323,350,147,72,104,27,617,127,92,42,false
2024-07-17 20:53:00,2024-07-18 22:23:55,UTC-04:00,2024-07-17 20:53:00,2024-07-18 04:53:00,42,16.5,202,480,98,56,48,278,486,0,44,42,false
2024-07-16 20:10:00,2024-07-17 20:53:00,UTC-04:00,2024-07-16 20:10:00,2024-07-17 07:05:00,100,17.1,525,655,222,70,233,130,443,122,82,13,false
2024-07-15 22:54:01,2024-07-16 20:10:00,UTC-04:00,2024-07-16 17:45:00,2024-07-16 19:23:00,14,19.2,70,98,42,13,15,28,503,122,81,,true
2024-07-15 22:54:01,2024-07-16 20:10:00,UTC-04:00,2024-07-16 15:58:00,2024-07-16 17:38:00,10,18.9,57,100,43,8,6,43,567,122,73,,true
2024-07-15 22:54:01,2024-07-16 20:10:00,UTC-04:00,2024-07-16 12:40:00,2024-07-16 14:15:00,5,18.5,28,95,25,3,0,67,587,122,50,,true
2024-07-15 22:54:01,2024-07-16 20:10:00,UTC-04:00,2024-07-15 22:54:01,2024-07-16 09:39:46,71,15.8,467,645,295,60,112,138,657,127,72,47,false
2024-07-15 01:17:34,2024-07-15 22:54:01,UTC-04:00,2024-07-15 01:17:34,2024-07-15 05:40:58,41,14.5,251,263,68,78,105,12,614,127,96,52,false
2024-07-14 00:47:56,2024-07-15 01:17:34,UTC-04:00,2024-07-14 00:47:56,2024-07-14 07:47:04,59,13.4,388,419,144,102,142,31,662,127,94,46,false
2024-07-12 22:47:48,2024-07-14 00:47:56,UTC-04:00,2024-07-12 22:47:48,2024-07-13 04:52:25,52,13.2,340,362,116,60,164,22,658,127,97,78,false
2024-07-11 22:09:49,2024-07-12 22:47:48,UTC-04:00,2024-07-11 22:09:49,2024-07-12 04:49:44,55,14.7,364,397,226,57,81,33,657,125,92,66,false
2024-07-10 20:59:27,2024-07-11 22:09:49,UTC-04:00,2024-07-10 20:59:27,2024-07-11 04:50:39,69,13.6,436,471,150,79,207,35,632,127,93,53,false
2024-07-09 22:38:54,2024-07-10 20:59:27,UTC-04:00,2024-07-09 22:38:54,2024-07-10 05:16:24,56,13.9,360,396,177,68,115,36,639,127,93,61,false
2024-07-09 01:12:00,2024-07-09 22:38:54,UTC-04:00,2024-07-09 01:12:00,2024-07-09 06:31:41,47,13.4,283,319,126,60,97,36,608,120,91,52,false
2024-07-08 02:04:51,2024-07-09 01:12:00,UTC-04:00,2024-07-08 02:04:51,2024-07-08 07:57:10,54,14.8,285,352,113,67,105,67,527,0,82,35,false
2024-07-06 19:46:10,2024-07-08 02:04:51,UTC-04:00,2024-07-06 19:46:10,2024-07-07 05:48:26,100,13.2,549,602,265,68,216,53,544,41,93,72,false
2024-07-05 21:47:11,2024-07-06 19:46:10,UTC-04:00,2024-07-05 21:47:11,2024-07-06 06:11:52,88,13.8,483,504,253,58,172,21,547,38,97,75,false
2024-07-04 21:36:00,2024-07-05 21:47:11,UTC-04:00,2024-07-04 21:36:00,2024-07-05 07:14:43,90,13.3,544,578,286,69,189,34,604,118,94,67,false
2024-07-03 20:23:17,2024-07-04 21:36:00,UTC-04:00,2024-07-03 20:23:17,2024-07-04 06:26:36,71,13.5,457,595,206,83,168,138,641,127,77,56,false
